# 100000 most frequently used 1-grams in American English books, 2005--2009. Data condensed from Google Ngrams Version 2, Copyright 2012, at <http://storage.googleapis.com/books/ngrams/books/datasetsv2.html>.
sound	8742548
pp.	8739953
beyond	8738738
rights	8729276
King	8723917
method	8691684
deep	8681411
parents	8668859
policy	8659430
B.	8659228
building	8658003
thinking	8654325
National	8644273
earth	8642320
seem	8621054
Even	8613637
dark	8613197
tried	8606960
e	8605161
trying	8590054
job	8583225
girl	8572599
comes	8567712
War	8562467
energy	8560285
24	8512971
works	8511320
Church	8504607
simple	8473833
World	8472587
theory	8468734
books	8464860
General	8455485
red	8451647
services	8446208
writing	8444779
try	8443299
car	8424844
L.	8423914
hour	8410610
Christian	8390148
et_X	8372769
systems	8370663
effects	8367836
19	8365170
Your	8361063
physical	8359879
OF	8357019
patient	8349582
Here	8328036
provided	8308664
paper	8306923
getting	8302101
speak	8293682
led	8290586
current	8287489
South	8281570
lower	8270465
bed	8258579
lives	8257554
national	8229708
meet	8221070
ten	8219136
test	8218918
First	8206721
object	8194716
sat	8193191
beginning	8159960
forms	8153685
management	8151171
page	8147691
died	8134094
met	8133296
hair	8123406
inside	8119800
described	8118520
private	8114281
studies	8110699
size	8098523
music	8098328
actually	8094405
states	8091745
generally	8087180
economic	8077979
feeling	8070412
H.	8069262
Washington	8064421
material	8061581
start	8058807
learning	8044538
below	8036064
pain	8021710
George	8011327
cut	8010772
religious	8002270
added	7979749
21	7979558
original	7977799
remember	7971453
situation	7951369
according	7930804
increase	7927946
disease	7924872
influence	7905424
North	7899283
100	7892214
ready	7883047
boy	7880723
British	7878041
addition	7878013
50	7875893
shows	7871453
fear	7856822
reading	7854164
today	7844417
values	7844239
Paul	7824121
faith	7818325
text	7804849
issues	7797616
response	7797216
lead	7770642
22	7770249
born	7770210
de_X	7759213
main	7754588
arms	7750860
moved	7750790
wrote	7742063
loss	7736377
follow	7734028
culture	7730944
1999	7696651
indeed	7693016
quickly	7671956
performance	7648408
spirit	7642538
complete	7635196
reached	7630018
points	7618042
instead	7605081
manner	7603550
understanding	7581414
week	7579002
W.	7575002
2005	7573127
structure	7568830
m	7568601
saying	7568024
design	7566378
soul	7557554
David	7533381
military	7529947
surface	7528490
Because	7523967
cell	7520292
activity	7517198
fall	7495190
associated	7493273
b	7490317
No_X	7477546
brother	7476533
eye	7468337
behavior	7449561
events	7442208
lines	7434374
total	7429478
parts	7427866
movement	7410757
Dr.	7399164
site	7392628
create	7384764
Mary	7384360
report	7384022
step	7379107
image	7378688
list	7370782
D	7360447
d	7360304
23	7338178
meaning	7337799
placed	7326848
decision	7319323
learn	7314513
